name	has_val	has_test	promotable	public_clone	test_total_cites	test_mean_cites	jaccard_vs_public_anchor	reason
fusion_samesrc_base_delta_vote_fusion_01	1	1	1	0	833	20.825000	0.973778	ok
fusion_samesrc_base_delta_vote_fusion_02	1	1	1	0	835	20.875000	0.971463	ok
fusion_samesrc_base_delta_vote_fusion_03	1	1	1	0	837	20.925000	0.969158	ok
intersect_bold7h_33028	1	1	1	0	781	19.525000	0.946602	ok
linguist_bridge	1	1	1	0	887	22.175000	0.885336	ok
linguist_fifteenth_order_semantic_keep_supported_test	1	1	1	0	902	22.550000	0.868906	ok
linguist_fifteenth_order_semantic_no_art20_prune_test	1	1	1	0	903	22.575000	0.867965	ok
linguist_fifteenth_order_semantic_no_form_test	1	1	1	0	900	22.500000	0.870793	ok
linguist_fifteenth_order_semantic_pair_with_form_boundary_test	1	1	1	0	901	22.525000	0.869848	ok
live_33545	1	1	1	1	818	20.450000	0.993925	public clone J=0.9939
live_33545_plus005	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus011art19	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus013	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus030art285	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus030bge	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
live_33545_plus040	1	1	1	1	817	20.425000	0.992710	public clone J=0.9927
math_sixteenth_alias	1	1	1	0	899	22.475000	0.871739	ok
micro32904_safe_micro_repair_02_v49377_j98947_a8_r1	1	1	1	0	854	21.350000	0.961404	ok
micro32904_safe_micro_repair_03_v49470_j98830_a8_r2	1	1	1	0	853	21.325000	0.964830	ok
micro32904_safe_micro_repair_04_v49456_j98830_a8_r2	1	1	1	0	853	21.325000	0.960234	ok
micro32904_safe_micro_repair_07_v49470_j98713_a8_r3	1	1	1	0	852	21.300000	0.963658	ok
micro32904_safe_micro_repair_08_v49470_j98713_a8_r3	1	1	1	0	852	21.300000	0.963658	ok
micro32904_safe_micro_repair_09_v49598_j98596_a8_r4	1	1	1	0	851	21.275000	0.957895	ok
micro32904_safe_micro_repair_10_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.962485	ok
micro32904_safe_micro_repair_11_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.962485	ok
micro32904_safe_micro_repair_12_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.964789	ok
micro32904_safe_micro_repair_13_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.962485	ok
micro32904_safe_micro_repair_14_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.962485	ok
micro32904_safe_micro_repair_15_v49583_j98596_a8_r4	1	1	1	0	851	21.275000	0.964789	ok
neuro_twelfth_safe_pair_art20_pruned	1	1	1	0	899	22.475000	0.871739	ok
overlay_consensus_01	1	1	1	0	863	21.575000	0.911565	ok
overlay_fusion_01	1	1	1	0	863	21.575000	0.911565	ok
overlay_samesrc_03	1	1	1	1	824	20.600000	0.984337	public clone J=0.9843
physics_seventeenth_order_dsym_risk_shave_1_test	1	1	1	0	908	22.700000	0.871351	ok
physics_seventeenth_order_dsym_risk_shave_2_test	1	1	1	0	903	22.575000	0.867965	ok
pre_reset_all5k3	1	1	1	0	880	22.000000	0.883850	ok
pre_reset_r01	1	1	1	0	888	22.200000	0.884361	ok
pre_reset_r02	1	1	1	0	888	22.200000	0.884361	ok
pre_reset_r03	1	1	1	0	888	22.200000	0.884361	ok
pre_reset_r05	1	1	1	0	886	22.150000	0.886313	ok
pre_reset_r06	1	1	1	0	886	22.150000	0.886313	ok
private_blend_widebankG_winners_k18_a50_corpusclean	1	1	1	0	875	21.875000	0.927355	ok
private_survivor_rubik_strict	1	1	1	0	887	22.175000	0.885336	ok
